properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
36811,28088,1,None,NULL,NULL
36812,27831,1,None,NULL,NULL
36813,28090,1,None,NULL,NULL
36814,27832,1,None,NULL,NULL
36815,28091,1,None,NULL,NULL
36816,27833,1,None,NULL,NULL
36817,28092,1,Patrol car detention,NULL,NULL
36818,27866,1,Curbside detention,NULL,NULL
36819,27834,1,None,NULL,NULL
36820,28093,1,Handcuffed or flex cuffed,NULL,NULL
36821,28053,1,None,NULL,NULL
36822,27866,1,Patrol car detention,NULL,NULL
36823,27835,1,None,NULL,NULL
36824,28093,1,Search of person was conducted,NULL,NULL
36825,28054,1,None,NULL,NULL
36826,27867,1,Asked for consent to search property,NULL,TRUE
36827,27836,1,None,NULL,NULL
36828,28094,1,None,NULL,NULL
36829,28055,1,None,NULL,NULL
36830,27867,1,Curbside detention,NULL,NULL
36831,27837,1,None,NULL,NULL
36832,28095,1,None,NULL,NULL
36833,28057,1,None,NULL,NULL
36834,27867,1,Property was seized,NULL,NULL
36835,27838,1,None,NULL,NULL
36836,28096,1,Curbside detention,NULL,NULL
36837,28058,1,Curbside detention,NULL,NULL
36838,27867,1,Search of property was conducted,NULL,NULL
36839,27839,1,None,NULL,NULL
36840,28097,1,Curbside detention,NULL,NULL
36841,28058,1,Search of person was conducted,NULL,NULL
36842,27868,1,None,NULL,NULL
36843,27840,1,Patrol car detention,NULL,NULL
36844,28098,1,None,NULL,NULL
36845,28059,1,None,NULL,NULL
36846,27869,1,None,NULL,NULL
36847,27841,1,None,NULL,NULL
36848,28014,1,None,NULL,NULL
36849,27943,1,None,NULL,NULL
36850,28099,1,None,NULL,NULL
36851,28100,1,None,NULL,NULL
36852,28101,1,None,NULL,NULL
36853,28102,1,None,NULL,NULL
