properties.ObjectId,properties.StopID,properties.PID,properties.actionTakenDuringStop,properties.personSearchConsentGiven,properties.propertySearchConsentGiven
36331,27359,1,None,NULL,NULL
36332,27571,1,Curbside detention,NULL,NULL
36333,27472,1,None,NULL,NULL
36334,27534,1,Person removed from vehicle by order,NULL,NULL
36335,27360,1,None,NULL,NULL
36336,27571,1,Handcuffed or flex cuffed,NULL,NULL
36337,27473,1,None,NULL,NULL
36338,27535,1,None,NULL,NULL
36339,27361,1,None,NULL,NULL
36340,27571,1,Search of person was conducted,NULL,NULL
36341,27474,1,None,NULL,NULL
36342,27536,1,None,NULL,NULL
36343,27362,1,None,NULL,NULL
36344,27572,1,None,NULL,NULL
36345,27475,1,None,NULL,NULL
36346,27537,1,None,NULL,NULL
36347,27363,1,None,NULL,NULL
36348,27573,1,None,NULL,NULL
36349,27476,1,None,NULL,NULL
36350,27538,1,Curbside detention,NULL,NULL
36351,27364,1,None,NULL,NULL
36352,27574,1,None,NULL,NULL
36353,27477,1,None,NULL,NULL
36354,27538,1,Search of person was conducted,NULL,NULL
36355,27365,1,Curbside detention,NULL,NULL
36356,27574,2,None,NULL,NULL
36357,27478,1,None,NULL,NULL
36358,27539,1,None,NULL,NULL
36359,27365,1,Person removed from vehicle by order,NULL,NULL
36360,27575,1,None,NULL,NULL
36361,27479,1,None,NULL,NULL
36362,27365,1,Person removed from vehicle by physical contact,NULL,NULL
36363,27576,1,None,NULL,NULL
36364,27480,1,None,NULL,NULL
36365,27365,1,Search of person was conducted,NULL,NULL
36366,27576,2,Person removed from vehicle by order,NULL,NULL
36367,27365,1,Search of property was conducted,NULL,NULL
36368,27577,1,None,NULL,NULL
36369,27365,1,Vehicle impounded,NULL,NULL
36370,27578,1,Person removed from vehicle by order,NULL,NULL
36371,27370,5,Curbside detention,NULL,NULL
36372,27370,5,Search of person was conducted,NULL,NULL
36373,27371,1,None,NULL,NULL
36374,27372,1,None,NULL,NULL
36375,27373,1,None,NULL,NULL
36376,27374,1,Patrol car detention,NULL,NULL
36377,27375,1,Asked for consent to search person,TRUE,NULL
36378,27375,1,Curbside detention,NULL,NULL
36379,27376,1,None,NULL,NULL
36380,27377,1,Asked for consent to search person,TRUE,NULL
36381,27377,1,Handcuffed or flex cuffed,NULL,NULL
36382,27377,1,Patrol car detention,NULL,NULL
36383,27378,1,None,NULL,NULL
36384,27379,1,None,NULL,NULL
36385,27380,1,None,NULL,NULL
36386,27381,1,None,NULL,NULL
36387,27382,1,None,NULL,NULL
36388,27383,1,Handcuffed or flex cuffed,NULL,NULL
36389,27383,1,Patrol car detention,NULL,NULL
36390,27383,1,Search of person was conducted,NULL,NULL
36391,27384,1,None,NULL,NULL
36392,27385,1,None,NULL,NULL
36393,27386,1,None,NULL,NULL
36394,27387,1,None,NULL,NULL
36395,27388,1,None,NULL,NULL
36396,27389,1,None,NULL,NULL
