properties.ObjectId,properties.StopID,properties.PID,properties.contrabandOrEvidenceDiscovered
338,5910,1,None
339,5911,1,None
340,5911,2,Drug Paraphernalia
341,5912,1,None
342,5913,1,None
343,5914,1,None
344,5915,1,None
345,5916,1,None
346,5917,1,None
347,5918,1,None
348,5919,1,None
349,5920,1,None
350,5921,1,None
351,5833,1,None
352,5834,1,None
353,5834,2,None
354,5834,3,None
355,5835,1,None
356,5836,1,Alcohol
357,5836,2,Drug Paraphernalia
358,5836,3,Alcohol
359,5837,1,None
360,5838,1,None
361,5839,1,None
362,5840,1,None
363,5841,1,None
364,5841,2,None
365,5842,1,None
366,5843,1,None
367,5844,1,None
368,5845,1,None
369,5845,2,None
370,5846,1,None
371,5847,1,None
372,5848,1,None
373,5849,1,None
374,5850,1,None
375,5851,1,None
376,5852,1,None
377,5853,1,None
378,5854,1,None
379,5855,1,None
380,5856,1,None
381,5857,1,None
382,5858,1,None
383,5859,1,None
384,5860,1,None
385,5861,1,None
386,5862,1,Weapon(s) other than a firearm
387,5863,1,None
388,5864,1,None
389,5865,1,None
390,5866,1,None
391,5867,1,None
392,5868,1,None
393,5869,1,None
394,5870,1,None
395,5871,1,None
396,5871,2,None
397,5871,3,None
398,5872,1,None
399,5873,1,None
400,5874,1,None
401,6201,1,None
402,6202,1,None
403,6203,1,Drugs/narcotics
404,6203,2,None
405,6204,1,None
406,6205,1,None
407,6206,1,None
408,6207,1,None
409,6208,1,None
410,6209,1,None
411,6210,1,None
412,6211,1,None
413,6212,1,None
414,6213,1,None
415,6214,1,None
416,6216,1,None
417,6217,1,None
418,6218,1,None
419,6219,1,None
420,6220,1,None
421,6221,1,None
422,6222,1,None
423,6223,1,None
424,6224,1,None
425,6225,1,None
426,6226,1,None
427,6227,1,None
428,6228,1,None
429,6229,1,None
430,6229,2,None
431,6230,1,None
432,6160,1,None
433,6231,1,None
434,6232,1,None
435,6161,1,None
436,6233,1,None
437,6162,1,None
438,6163,1,None
439,6233,2,None
440,6164,1,None
441,6234,1,None
442,6165,1,None
443,6235,1,None
444,6166,1,None
445,6236,1,None
446,6167,1,None
447,6237,1,None
448,6168,1,None
449,6238,1,None
450,6239,1,None
451,6169,1,None
452,6240,1,None
453,6170,1,None
454,6241,1,None
455,6171,1,None
456,6242,1,None
457,6172,1,None
458,6243,1,None
459,6173,1,None
460,6244,1,None
461,6174,1,None
462,6244,2,None
463,6175,1,None
464,6176,1,None
465,6245,1,None
466,6246,1,None
467,6177,1,None
468,6247,1,None
469,6178,1,Alcohol
470,6178,2,Alcohol
471,6178,3,Alcohol
472,6178,4,Alcohol
473,6178,5,Alcohol
474,6178,6,Alcohol
475,6178,7,Alcohol
476,6179,1,None
477,6180,1,None
478,6181,1,None
479,6182,1,None
480,6182,2,None
481,6183,1,None
482,6184,1,None
483,6185,1,None
484,6186,1,None
485,6187,1,None
486,6188,1,None
487,6189,1,None
488,6190,1,None
489,6191,1,None
490,6192,1,None
491,6193,1,None
492,6194,1,None
493,6195,1,None
494,6196,1,None
495,6197,1,None
496,6197,2,None
497,6197,3,None
498,6198,1,None
499,6199,1,None
500,6200,1,None
501,6248,1,None
502,6249,1,Alcohol
503,6393,1,None
504,6250,1,None
505,6251,1,None
506,6251,2,None
507,6252,1,None
508,6253,1,None
509,6254,1,None
510,6255,1,None
511,6256,1,None
512,6257,1,None
513,6258,1,None
514,6259,1,None
515,6260,1,None
516,6261,1,None
517,6262,1,None
518,6263,1,None
519,6264,1,None
520,6265,1,None
521,6267,1,None
522,6269,1,None
523,6270,1,None
524,6271,1,None
525,6272,1,None
526,6273,1,None
527,6274,1,None
528,6275,1,None
529,6276,1,None
530,6277,1,None
531,6278,1,None
532,6279,1,Firearm(s)
533,6279,2,None
534,6280,1,None
535,6281,1,None
536,6282,1,Weapon(s) other than a firearm
537,6283,1,None
538,6284,1,None
539,6285,1,None
540,6286,1,None
541,6287,1,None
542,6288,1,None
543,6289,1,None
544,6290,1,None
545,6291,1,None
546,6292,1,None
547,6293,1,None
548,6293,2,None
549,6294,1,None
550,6295,1,None
551,6295,2,None
552,6444,1,None
553,6394,1,None
554,6395,1,None
555,6397,1,None
556,6398,1,None
557,6399,1,None
558,6400,1,None
559,6401,1,None
560,6402,1,None
561,6403,1,None
562,6404,1,None
563,6405,1,None
564,6406,1,None
565,6407,1,None
566,6408,1,None
567,6409,1,None
568,6410,1,None
569,6411,1,None
570,6412,1,None
571,6413,1,None
572,6414,1,None
573,6415,1,None
574,6416,1,None
575,6417,1,None
576,6418,1,None
577,6419,1,None
578,6420,1,Drugs/narcotics
579,6421,1,None
580,6422,1,None
581,6423,1,None
582,6424,1,None
583,6425,1,None
584,6427,1,None
585,6428,1,None
586,6429,1,None
587,6430,1,None
588,6431,1,None
589,6432,1,None
590,6433,1,None
591,6434,1,None
592,6435,1,None
593,6435,2,None
594,6436,1,None
595,6437,1,None
596,6438,1,None
597,6439,1,None
598,6440,1,None
599,6441,1,None
600,6442,1,None
601,6443,1,None
602,6445,1,None
603,6445,2,None
604,6446,1,None
605,6447,1,None
606,6448,1,None
607,6449,1,None
608,6450,1,None
609,6451,1,None
610,6451,2,None
611,6452,1,None
612,6453,1,None
613,6454,1,None
614,6455,1,Drug Paraphernalia
615,6456,1,None
616,6456,2,None
617,6457,1,None
618,6457,2,None
619,6458,1,None
620,6458,2,None
621,6459,1,None
622,6460,1,None
623,6461,1,None
624,6462,1,None
625,6463,1,None
626,6464,1,None
627,6465,1,None
628,6466,1,None
629,6467,1,None
630,6467,2,None
631,6468,1,None
632,6468,2,None
