StopID,PID,ObjectId,perceivedRace_Asian,perceivedRace_Black,perceivedRace_Hispanic,perceivedRace_Middle Eastern or South Asian,perceivedRace_Native American,perceivedRace_Pacific Islander,perceivedRace_White
38061,1,34258,0,0,1,0,0,0,0
38062,1,34264,0,0,1,0,0,0,0
38062,2,34270,0,0,1,0,0,0,0
38063,1,34276,0,0,1,0,0,0,0
38064,1,34282,0,0,1,0,0,0,0
38065,1,34288,0,0,0,0,0,0,1
38066,1,34294,0,1,0,0,0,0,0
38067,1,34300,1,0,0,0,0,0,0
38068,1,34306,0,1,0,0,0,0,0
38069,1,34312,0,0,1,0,0,0,0
38070,1,34318,0,0,1,0,0,0,0
38071,1,34324,0,0,1,0,0,0,0
38072,1,34330,0,0,1,0,0,0,0
38073,1,34336,0,0,1,0,0,0,0
38074,1,34376,0,1,0,0,0,0,0
38075,1,34380,0,0,0,0,0,0,1
38076,1,34384,0,0,1,0,0,0,0
38077,1,34388,0,1,0,0,0,0,0
38078,1,34392,0,0,1,0,0,0,0
38079,1,34395,0,1,0,0,0,0,0
38080,1,34398,0,0,1,0,0,0,0
38080,2,34400,0,0,0,0,0,0,1
38081,1,34014,0,0,0,0,0,0,1
38082,1,34021,0,1,0,0,0,0,0
38083,1,34028,0,1,0,0,0,0,0
38084,1,34035,0,1,0,0,0,0,0
38085,1,34042,0,0,1,0,0,0,0
38086,1,34094,0,0,0,0,0,0,1
38087,1,34100,0,1,0,0,0,0,0
38088,1,34106,0,0,1,0,0,0,0
38089,1,34112,0,1,0,0,0,0,0
38090,1,34118,0,1,0,0,0,0,0
38091,1,34124,0,0,0,0,0,0,1
38092,1,34130,0,1,0,0,0,0,0
38093,1,34136,0,0,1,0,0,0,0
38093,2,34142,0,0,1,0,0,0,0
38094,1,34148,0,0,1,0,0,0,0
38096,1,34154,0,0,1,0,0,0,0
38097,1,34160,0,0,1,0,0,0,0
38097,2,34166,0,0,1,0,0,0,0
38098,1,34172,0,0,1,0,0,0,0
38099,1,34178,0,0,0,0,0,0,1
38100,1,34184,0,0,1,0,0,0,0
38101,1,34190,0,0,1,0,0,0,0
38102,1,34226,0,0,0,0,0,0,1
38103,1,34231,0,0,1,0,0,0,0
38104,1,34236,0,0,0,0,0,0,1
38105,1,34241,0,0,1,0,0,0,0
38106,1,34246,0,0,0,0,0,0,1
38107,1,34251,0,0,0,0,0,0,1
38108,1,34256,0,0,0,0,0,0,1
38109,1,34262,0,0,0,0,0,0,1
38110,1,34268,0,1,0,0,0,0,0
38111,1,34274,0,1,0,0,0,0,0
38111,2,34280,0,1,0,0,0,0,0
38112,1,34286,0,0,1,0,0,0,0
38113,1,34292,0,1,0,0,0,0,0
38114,1,34298,0,0,1,0,0,0,0
38115,1,34304,0,0,1,0,0,0,0
38116,1,34310,1,0,0,0,0,0,0
38117,1,34316,0,1,0,0,0,0,0
38118,1,68650,0,1,0,1,0,0,0
38119,1,34334,0,0,1,0,0,0,0
38120,1,171872,1,0,1,1,0,1,1
38121,1,34393,0,0,0,0,0,0,1
38122,1,34396,0,0,1,0,0,0,0
38122,2,34399,0,0,1,0,0,0,0
38122,3,34413,0,0,1,0,0,0,0
38123,1,103275,0,1,1,1,0,0,0
38124,1,34437,0,0,1,0,0,0,0
38125,1,68892,0,0,1,0,0,0,1
38126,1,137856,1,1,1,1,0,0,0
38127,1,34479,0,1,0,0,0,0,0
38128,1,34485,1,0,0,0,0,0,0
38129,1,34486,0,0,1,0,0,0,0
38129,2,34487,0,1,0,0,0,0,0
38130,1,34488,0,0,0,0,0,0,1
38131,1,34489,0,0,1,0,0,0,0
38132,1,34490,0,0,0,0,0,0,1
38133,1,34491,0,0,0,0,0,0,1
38134,1,34492,0,0,0,0,0,0,1
38135,1,34493,0,1,0,0,0,0,0
38136,1,34494,0,0,0,0,0,0,1
38137,1,34495,0,0,0,0,0,0,1
38138,1,34496,0,0,1,0,0,0,0
38139,1,34497,0,1,0,0,0,0,0
38139,2,34498,0,1,0,0,0,0,0
38141,1,34499,0,1,0,0,0,0,0
38142,1,34500,0,0,1,0,0,0,0
38143,1,34501,0,1,0,0,0,0,0
38144,1,34502,0,1,0,0,0,0,0
38145,1,34503,0,0,1,0,0,0,0
38146,1,34504,1,0,0,0,0,0,0
38147,1,34505,0,0,1,0,0,0,0
38148,1,34506,0,1,0,0,0,0,0
38149,1,34507,0,1,0,0,0,0,0
38150,1,34508,0,0,1,0,0,0,0
38151,1,138046,0,1,1,0,1,0,1
38152,1,34514,0,1,0,0,0,0,0
38153,1,34515,0,1,0,0,0,0,0
38154,1,103551,0,1,1,0,0,0,1
38155,1,34519,0,1,0,0,0,0,0
38156,1,34520,0,1,0,0,0,0,0
38157,1,34521,0,1,0,0,0,0,0
38158,1,34522,0,1,0,0,0,0,0
38159,1,34523,0,0,1,0,0,0,0
38160,1,34401,0,0,1,0,0,0,0
38161,1,34402,0,0,0,1,0,0,0
38162,1,34404,0,0,1,0,0,0,0
38163,1,34406,0,0,1,0,0,0,0
38164,1,34408,0,0,1,0,0,0,0
38165,1,34411,0,1,0,0,0,0,0
38166,1,34415,0,0,1,0,0,0,0
38167,1,34421,0,0,0,0,0,0,1
38168,1,34427,0,1,0,0,0,0,0
38169,1,34433,0,0,1,0,0,0,0
38170,1,34439,0,0,0,0,0,0,1
38171,1,34445,0,1,0,0,0,0,0
38172,1,34451,0,1,0,0,0,0,0
38173,1,34457,0,0,1,0,0,0,0
38174,1,34463,0,1,0,0,0,0,0
38175,1,34469,0,0,0,0,0,0,1
38176,1,34475,0,0,1,0,0,0,0
38177,1,34481,0,0,1,0,0,0,0
38178,1,34525,0,0,0,0,0,0,1
38179,1,34531,0,1,0,0,0,0,0
38180,1,34537,0,0,1,0,0,0,0
38180,2,34543,0,0,1,0,0,0,0
38180,3,34549,0,0,1,0,0,0,0
38181,1,34555,0,0,1,0,0,0,0
38182,1,34561,0,0,1,0,0,0,0
38183,1,34567,0,0,1,0,0,0,0
38184,1,34573,0,0,0,0,0,0,1
38185,1,34579,0,1,0,0,0,0,0
38186,1,34585,1,0,0,0,0,0,0
38187,1,34591,0,1,0,0,0,0,0
38188,1,34597,0,0,0,1,0,0,0
38189,1,34603,0,1,0,0,0,0,0
38190,1,34609,0,0,1,0,0,0,0
38191,1,34615,0,0,1,0,0,0,0
38192,1,34621,0,0,0,0,0,1,0
38193,1,34627,0,0,1,0,0,0,0
38194,1,34634,0,1,0,0,0,0,0
38194,2,34640,0,1,0,0,0,0,0
38195,1,34645,0,1,0,0,0,0,0
38196,1,34651,0,0,1,0,0,0,0
38196,2,34657,0,0,1,0,0,0,0
38197,1,34663,0,1,0,0,0,0,0
38198,1,34669,0,0,1,0,0,0,0
38199,1,34676,0,1,0,0,0,0,0
38199,2,34683,0,0,1,0,0,0,0
38200,1,34690,0,0,1,0,0,0,0
38201,1,34697,0,0,1,0,0,0,0
38202,1,34704,0,0,1,0,0,0,0
38203,1,34711,0,1,0,0,0,0,0
38204,1,34718,0,0,0,1,0,0,0
38205,1,34418,0,0,1,0,0,0,0
38206,1,34424,0,0,0,0,0,0,1
38207,1,34430,0,0,0,0,0,0,1
38208,1,34436,0,0,1,0,0,0,0
38209,1,34442,0,0,0,0,0,0,1
38210,1,34448,0,0,0,0,0,0,1
38211,1,34454,0,0,1,0,0,0,0
38213,1,34460,0,0,1,0,0,0,0
38216,1,34466,0,0,1,0,0,0,0
38217,1,34472,0,0,0,0,0,0,1
38218,1,34478,0,1,0,0,0,0,0
38219,1,34484,0,0,1,0,0,0,0
38219,2,34527,0,0,1,0,0,0,0
38220,1,34533,0,1,0,0,0,0,0
38220,2,34539,0,1,0,0,0,0,0
38220,3,34545,0,1,0,0,0,0,0
38220,4,34551,0,1,0,0,0,0,0
38221,1,34557,0,0,1,0,0,0,0
38222,1,69132,0,0,1,1,0,0,0
38223,1,34575,0,1,0,0,0,0,0
38224,1,34581,0,0,1,0,0,0,0
38225,1,34587,0,1,0,0,0,0,0
38226,1,34593,1,0,0,0,0,0,0
38227,1,34599,0,0,1,0,0,0,0
38228,1,34605,0,0,0,1,0,0,0
38229,1,34611,0,0,0,0,0,0,1
38230,1,34617,0,0,0,0,0,0,1
38231,1,34623,0,0,0,0,0,0,1
38232,1,34629,0,0,1,0,0,0,0
38233,1,34637,0,0,1,0,0,0,0
38234,1,34646,0,0,0,0,0,0,1
38235,1,34652,0,1,0,0,0,0,0
38236,1,34658,0,0,0,0,0,0,1
38237,1,34664,0,1,0,0,0,0,0
38238,1,34670,0,1,0,0,0,0,0
38239,1,34677,0,0,0,0,0,0,1
38240,1,34684,0,0,1,0,0,0,0
38241,1,34691,1,0,0,0,0,0,0
38242,1,34698,0,0,1,0,0,0,0
38243,1,34705,0,1,0,0,0,0,0
38244,1,34712,0,1,0,0,0,0,0
38245,1,34719,0,0,0,0,0,0,1
38246,1,34725,0,0,0,0,0,0,1
38247,1,34730,1,0,0,0,0,0,0
38248,1,34735,0,0,0,0,0,0,1
38249,1,34740,0,0,1,0,0,0,0
38250,1,34745,0,1,0,0,0,0,0
38251,1,34749,0,1,0,0,0,0,0
38252,1,34753,0,0,0,0,0,0,1
38253,1,34672,0,0,1,0,0,0,0
38254,1,34679,0,0,1,0,0,0,0
38256,1,34686,0,0,1,0,0,0,0
38257,1,34693,0,0,1,0,0,0,0
38258,1,34700,1,0,0,0,0,0,0
38259,1,34707,0,0,1,0,0,0,0
38260,1,34714,0,1,0,0,0,0,0
38261,1,34721,0,0,1,0,0,0,0
38262,1,34727,0,1,0,0,0,0,0
38263,1,34732,0,1,0,0,0,0,0
38264,1,34737,0,1,0,0,0,0,0
38265,1,34742,0,1,0,0,0,0,0
38266,1,34746,0,0,1,0,0,0,0
38267,1,34750,0,0,0,0,0,0,1
38268,1,34754,0,0,0,1,0,0,0
38269,1,34756,1,0,0,0,0,0,0
38270,1,34758,0,0,1,0,0,0,0
38271,1,34760,0,0,0,0,0,0,1
38272,1,34762,0,0,1,0,0,0,0
38273,1,34764,0,1,0,0,0,0,0
38274,1,34766,0,0,1,0,0,0,0
38275,1,34768,0,1,0,0,0,0,0
38276,1,34770,0,0,1,0,0,0,0
38277,1,34772,1,0,0,0,0,0,0
38278,1,34774,0,0,1,0,0,0,0
38279,1,34775,0,1,0,0,0,0,0
38280,1,34776,0,0,1,0,0,0,0
38281,1,34777,1,0,0,0,0,0,0
38282,1,34778,0,1,0,0,0,0,0
38283,1,34779,0,0,1,0,0,0,0
38284,1,34780,0,1,0,0,0,0,0
38285,1,34781,0,0,0,0,0,0,1
38286,1,34782,0,0,0,0,0,0,1
38286,2,34783,0,1,0,0,0,0,0
38288,1,34784,0,0,0,0,0,0,1
38289,1,34785,0,0,0,0,0,1,0
38290,1,34786,0,0,1,0,0,0,0
38291,1,34787,0,0,1,0,0,0,0
38292,1,34788,0,0,0,0,0,0,1
38293,1,34789,0,1,0,0,0,0,0
38294,1,34790,0,0,1,0,0,0,0
38295,1,34791,0,0,1,0,0,0,0
38296,1,34792,0,0,1,0,0,0,0
38297,1,34793,0,1,0,0,0,0,0
38298,1,34794,0,0,1,0,0,0,0
38299,1,34795,0,0,1,0,0,0,0
38300,1,34796,0,0,0,0,0,0,1
38301,1,34797,0,1,0,0,0,0,0
38302,1,34798,1,0,0,0,0,0,0
38303,1,34799,0,0,1,0,0,0,0
38304,1,34509,0,1,0,0,0,0,0
38305,1,34528,0,0,0,1,0,0,0
38306,1,34534,0,1,0,0,0,0,0
38307,1,34540,0,1,0,0,0,0,0
38308,1,34546,0,0,0,1,0,0,0
38309,1,34552,0,0,1,0,0,0,0
38310,1,34558,0,0,1,0,0,0,0
38311,1,34564,0,0,1,0,0,0,0
38312,1,34570,0,0,1,0,0,0,0
38313,1,34576,0,0,1,0,0,0,0
38314,1,34582,0,0,0,0,0,0,1
38315,1,34588,0,0,0,0,0,0,1
38316,1,34594,0,1,0,0,0,0,0
38317,1,34600,0,0,1,0,0,0,0
38318,1,34606,0,1,0,0,0,0,0
38319,1,34612,0,0,0,0,0,0,1
38320,1,34618,0,0,1,0,0,0,0
38321,1,34624,0,0,0,0,0,0,1
38322,1,34630,0,0,0,0,0,0,1
38323,1,34636,0,0,1,0,0,0,0
38324,1,34644,0,0,0,0,0,0,1
38325,1,34650,0,0,0,0,0,0,1
38326,1,34656,0,0,1,0,0,0,0
38327,1,34662,0,1,0,0,0,0,0
38328,1,34668,0,0,0,0,0,0,1
38329,1,34675,0,0,0,0,0,0,1
38330,1,34682,0,0,1,0,0,0,0
38331,1,34689,0,0,1,0,0,0,0
38332,1,34696,0,0,0,0,0,0,1
38333,1,34703,0,0,1,0,0,0,0
38334,1,34710,0,1,0,0,0,0,0
38335,1,34717,0,0,0,0,0,0,1
38336,1,34724,1,0,0,0,0,0,0
38337,1,34729,0,0,0,0,0,0,1
38338,1,34734,0,1,0,0,0,0,0
38339,1,34739,0,0,1,0,0,0,0
38340,1,34744,0,0,1,0,0,0,0
38341,1,34748,0,0,0,0,0,0,1
38342,1,34752,0,0,1,0,0,0,0
38343,1,34755,0,1,0,0,0,0,0
38344,1,34757,0,0,0,0,0,0,1
38345,1,34759,0,1,0,0,0,0,0
39341,1,34761,0,0,1,0,0,0,0
39342,1,104295,0,1,0,0,1,0,1
39343,1,34769,0,1,0,0,0,0,0
39344,1,34771,0,1,0,0,0,0,0
39345,1,34773,0,0,1,0,0,0,0
39346,1,34800,0,0,0,0,0,0,1
39347,1,34403,0,0,0,0,0,0,1
39348,1,34405,0,0,1,0,0,0,0
39349,1,34409,0,0,1,0,0,0,0
39350,1,34412,0,0,0,0,0,0,1
39351,1,34417,0,0,1,0,0,0,0
39351,2,34422,0,0,1,0,0,0,0
39351,3,34428,0,0,1,0,0,0,0
39351,4,34434,0,0,1,0,0,0,0
39352,1,34440,0,1,0,0,0,0,0
39352,2,34446,0,1,0,0,0,0,0
39352,3,34452,0,1,0,0,0,0,0
39353,1,34458,0,0,1,0,0,0,0
39354,1,34464,0,1,0,0,0,0,0
39355,1,34470,0,1,0,0,0,0,0
39356,1,34476,0,0,1,0,0,0,0
39357,1,34482,0,0,0,0,0,0,1
39358,1,34526,0,1,0,0,0,0,0
39359,1,34532,0,1,0,0,0,0,0
39360,1,34538,0,1,0,0,0,0,0
39361,1,34544,0,1,0,0,0,0,0
39362,1,34550,0,0,1,0,0,0,0
39363,1,34556,0,1,0,0,0,0,0
39364,1,34562,1,0,0,0,0,0,0
39365,1,34568,0,0,0,0,0,0,1
39366,1,34574,0,0,1,0,0,0,0
39367,1,34580,1,0,0,0,0,0,0
39368,1,34586,0,0,0,0,0,0,1
39369,1,34592,0,0,0,0,0,0,1
39370,1,34598,0,0,0,0,0,0,1
39371,1,34604,0,0,0,0,0,0,1
39372,1,34610,0,0,0,0,0,0,1
39373,1,34616,0,0,0,0,0,0,1
39374,1,34622,0,0,1,0,0,0,0
39375,1,34628,0,1,0,0,0,0,0
39376,1,34633,0,1,0,0,0,0,0
39377,1,34635,0,0,0,0,0,0,1
39378,1,34639,0,0,1,0,0,0,0
39379,1,34642,0,0,1,0,0,0,0
39380,1,34648,0,1,0,0,0,0,0
39381,1,34654,0,0,0,1,0,0,0
